"Statistic","Year","Age","Type of Registration","UNIT","VALUE"
"Used  (Imported) Cars Registered","2005","All ages","Gross registrations","Number","41801"
"Used  (Imported) Cars Registered","2005","All ages","Exempt registrations","Number","5919"
"Used  (Imported) Cars Registered","2005","All ages","Net registrations","Number","35882"
"Used  (Imported) Cars Registered","2005","1 year","Gross registrations","Number","387"
"Used  (Imported) Cars Registered","2005","1 year","Exempt registrations","Number","99"
"Used  (Imported) Cars Registered","2005","1 year","Net registrations","Number","288"
"Used  (Imported) Cars Registered","2005","2 years","Gross registrations","Number","2456"
"Used  (Imported) Cars Registered","2005","2 years","Exempt registrations","Number","692"
"Used  (Imported) Cars Registered","2005","2 years","Net registrations","Number","1764"
"Used  (Imported) Cars Registered","2005","3 years","Gross registrations","Number","2693"
"Used  (Imported) Cars Registered","2005","3 years","Exempt registrations","Number","746"
"Used  (Imported) Cars Registered","2005","3 years","Net registrations","Number","1947"
"Used  (Imported) Cars Registered","2005","4 years","Gross registrations","Number","5626"
"Used  (Imported) Cars Registered","2005","4 years","Exempt registrations","Number","659"
"Used  (Imported) Cars Registered","2005","4 years","Net registrations","Number","4967"
"Used  (Imported) Cars Registered","2005","5 years","Gross registrations","Number","4647"
"Used  (Imported) Cars Registered","2005","5 years","Exempt registrations","Number","655"
"Used  (Imported) Cars Registered","2005","5 years","Net registrations","Number","3992"
"Used  (Imported) Cars Registered","2005","6 years","Gross registrations","Number","3646"
"Used  (Imported) Cars Registered","2005","6 years","Exempt registrations","Number","603"
"Used  (Imported) Cars Registered","2005","6 years","Net registrations","Number","3043"
"Used  (Imported) Cars Registered","2005","7 years","Gross registrations","Number","3469"
"Used  (Imported) Cars Registered","2005","7 years","Exempt registrations","Number","498"
"Used  (Imported) Cars Registered","2005","7 years","Net registrations","Number","2971"
"Used  (Imported) Cars Registered","2005","8 years","Gross registrations","Number","4190"
"Used  (Imported) Cars Registered","2005","8 years","Exempt registrations","Number","460"
"Used  (Imported) Cars Registered","2005","8 years","Net registrations","Number","3730"
"Used  (Imported) Cars Registered","2005","9 years","Gross registrations","Number","3628"
"Used  (Imported) Cars Registered","2005","9 years","Exempt registrations","Number","365"
"Used  (Imported) Cars Registered","2005","9 years","Net registrations","Number","3263"
"Used  (Imported) Cars Registered","2005","10 years","Gross registrations","Number","3565"
"Used  (Imported) Cars Registered","2005","10 years","Exempt registrations","Number","291"
"Used  (Imported) Cars Registered","2005","10 years","Net registrations","Number","3274"
"Used  (Imported) Cars Registered","2005","11 years","Gross registrations","Number","2191"
"Used  (Imported) Cars Registered","2005","11 years","Exempt registrations","Number","260"
"Used  (Imported) Cars Registered","2005","11 years","Net registrations","Number","1931"
"Used  (Imported) Cars Registered","2005","12 years","Gross registrations","Number","1523"
"Used  (Imported) Cars Registered","2005","12 years","Exempt registrations","Number","171"
"Used  (Imported) Cars Registered","2005","12 years","Net registrations","Number","1352"
"Used  (Imported) Cars Registered","2005","13 years and over","Gross registrations","Number","3780"
